
Epoch 0 --> 34/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085423, L_CE=0.163584, Now=23:25:00
Epoch 0 --> 34/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085330, L_CE=0.163424, Now=23:26:51
Epoch 0 --> 34/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085360, L_CE=0.163452, Now=23:28:43
Epoch 0 --> 34/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=23:30:34
Epoch 0 --> 35/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085491, L_CE=0.163699, Now=23:32:40
Epoch 0 --> 35/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085671, L_CE=0.164019, Now=23:34:32
Epoch 0 --> 35/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085599, L_CE=0.163876, Now=23:36:24
Epoch 0 --> 35/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085507, L_CE=0.163732, Now=23:38:16
Epoch 0 --> 35/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=23:40:07
Epoch 0 --> 36/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085300, L_CE=0.163184, Now=23:42:01
Epoch 0 --> 36/100, i=1000/2500, -3.00dB/90Hz, Tr_BER=0.085455, L_CE=0.163588, Now=23:43:40
Epoch 0 --> 36/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085425, L_CE=0.163563, Now=23:45:20
Epoch 0 --> 36/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085461, L_CE=0.163618, Now=23:47:09
Epoch 0 --> 36/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=23:49:01
Epoch 0 --> 37/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085350, L_CE=0.163448, Now=23:51:11
Epoch 0 --> 37/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085513, L_CE=0.163666, Now=23:53:06
Epoch 0 --> 37/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085579, L_CE=0.163800, Now=23:55:03
Epoch 0 --> 37/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085547, L_CE=0.163766, Now=23:56:56
Epoch 0 --> 37/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=23:58:50
Epoch 0 --> 38/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085064, L_CE=0.162862, Now=00:00:56
Epoch 0 --> 38/100, i=1000/2500, -3.00dB/90Hz, Tr_BER=0.085241, L_CE=0.163222, Now=00:02:47
Epoch 0 --> 38/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085387, L_CE=0.163522, Now=00:04:39
Epoch 0 --> 38/100, i=2000/2500, -3.00dB/90Hz, Tr_BER=0.085408, L_CE=0.163532, Now=00:06:31
Epoch 0 --> 38/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=00:08:22
Epoch 0 --> 39/100, i= 500/2500, -3.00dB/90Hz, Tr_BER=0.085576, L_CE=0.163862, Now=00:10:31
Epoch 0 --> 39/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085470, L_CE=0.163632, Now=00:12:23
Epoch 0 --> 39/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085457, L_CE=0.163587, Now=00:14:15
Epoch 0 --> 39/100, i=2000/2500, -3.00dB/90Hz, Tr_BER=0.085409, L_CE=0.163525, Now=00:16:07
Epoch 0 --> 39/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=00:18:02
Epoch 0 --> 40/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085754, L_CE=0.164159, Now=00:20:09
Epoch 0 --> 40/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085612, L_CE=0.163835, Now=00:22:04
Epoch 0 --> 40/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085602, L_CE=0.163837, Now=00:23:56
Epoch 0 --> 40/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085478, L_CE=0.163616, Now=00:25:49
Epoch 0 --> 40/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=00:27:41
Epoch 0 --> 41/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085914, L_CE=0.164434, Now=00:29:46
Epoch 0 --> 41/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085476, L_CE=0.163728, Now=00:31:38
Epoch 0 --> 41/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085506, L_CE=0.163740, Now=00:33:30
Epoch 0 --> 41/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085455, L_CE=0.163631, Now=00:35:21
Epoch 0 --> 41/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=00:37:13
Epoch 0 --> 42/100, i= 500/2500, -3.00dB/90Hz, Tr_BER=0.085319, L_CE=0.163432, Now=00:39:11
Epoch 0 --> 42/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085273, L_CE=0.163372, Now=00:40:52
Epoch 0 --> 42/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085490, L_CE=0.163670, Now=00:42:39
Epoch 0 --> 42/100, i=2000/2500, -3.00dB/90Hz, Tr_BER=0.085384, L_CE=0.163484, Now=00:44:32
Epoch 0 --> 42/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=00:46:24
