
Epoch 0 --> 30/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.103256, L_CE=0.190714, Now=15:14:56
Epoch 0 --> 30/200, i=1000/2500, -3.00dB/150Hz, Tr_BER=0.103381, L_CE=0.190905, Now=15:16:26
Epoch 0 --> 30/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.103224, L_CE=0.190620, Now=15:17:58
Epoch 0 --> 30/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.103238, L_CE=0.190600, Now=15:19:27
Epoch 0 --> 30/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.103333, L_CE=0.190768, Now=15:21:02
Epoch 0 --> 31/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.102905, L_CE=0.190140, Now=15:22:45
Epoch 0 --> 31/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.103019, L_CE=0.190230, Now=15:24:12
Epoch 0 --> 31/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.102922, L_CE=0.190100, Now=15:25:41
Epoch 0 --> 31/200, i=2000/2500, -5.00dB/150Hz, Tr_BER=0.103095, L_CE=0.190396, Now=15:27:15
Epoch 0 --> 31/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.103206, L_CE=0.190565, Now=15:28:51
Epoch 0 --> 32/200, i= 500/2500, -3.00dB/150Hz, Tr_BER=0.103330, L_CE=0.190771, Now=15:30:35
Epoch 0 --> 32/200, i=1000/2500, -3.00dB/150Hz, Tr_BER=0.103076, L_CE=0.190351, Now=15:32:09
Epoch 0 --> 32/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.103053, L_CE=0.190378, Now=15:33:42
Epoch 0 --> 32/200, i=2000/2500, -3.00dB/150Hz, Tr_BER=0.103110, L_CE=0.190450, Now=15:35:17
Epoch 0 --> 32/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.103099, L_CE=0.190417, Now=15:36:52
Epoch 0 --> 33/200, i= 500/2500, -3.00dB/150Hz, Tr_BER=0.102793, L_CE=0.190066, Now=15:38:41
Epoch 0 --> 33/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.102623, L_CE=0.189694, Now=15:40:14
Epoch 0 --> 33/200, i=1500/2500, -3.00dB/150Hz, Tr_BER=0.102788, L_CE=0.189988, Now=15:41:47
Epoch 0 --> 33/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.103008, L_CE=0.190290, Now=15:43:21
Epoch 0 --> 33/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.103049, L_CE=0.190354, Now=15:44:55
Epoch 0 --> 34/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.102606, L_CE=0.189431, Now=15:46:42
Epoch 0 --> 34/200, i=1000/2500, -3.00dB/150Hz, Tr_BER=0.102614, L_CE=0.189589, Now=15:48:10
Epoch 0 --> 34/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.102675, L_CE=0.189710, Now=15:49:37
Epoch 0 --> 34/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.102840, L_CE=0.190029, Now=15:51:10
Epoch 0 --> 34/200, i=2500/2500, -3.00dB/150Hz, Tr_BER=0.102989, L_CE=0.190293, Now=15:52:40
Epoch 0 --> 35/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.102885, L_CE=0.190273, Now=15:54:30
Epoch 0 --> 35/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.103008, L_CE=0.190409, Now=15:55:57
Epoch 0 --> 35/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.103096, L_CE=0.190502, Now=15:57:23
Epoch 0 --> 35/200, i=2000/2500, -3.00dB/150Hz, Tr_BER=0.102912, L_CE=0.190211, Now=15:58:56
Epoch 0 --> 35/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.102863, L_CE=0.190115, Now=16:00:31
Epoch 0 --> 36/200, i= 500/2500, -3.00dB/150Hz, Tr_BER=0.102066, L_CE=0.188759, Now=16:02:20
Epoch 0 --> 36/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.102621, L_CE=0.189677, Now=16:03:51
Epoch 0 --> 36/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.102769, L_CE=0.189924, Now=16:05:24
Epoch 0 --> 36/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.102816, L_CE=0.190051, Now=16:06:58
Epoch 0 --> 36/200, i=2500/2500, -3.00dB/150Hz, Tr_BER=0.102808, L_CE=0.190024, Now=16:08:31
Epoch 0 --> 37/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.102714, L_CE=0.189792, Now=16:10:00
Epoch 0 --> 37/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.102720, L_CE=0.189905, Now=16:11:33
Epoch 0 --> 37/200, i=1500/2500, -3.00dB/150Hz, Tr_BER=0.102683, L_CE=0.189836, Now=16:13:07
Epoch 0 --> 37/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.102733, L_CE=0.189898, Now=16:14:38
Epoch 0 --> 37/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.102793, L_CE=0.190029, Now=16:16:09
Epoch 0 --> 38/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.101762, L_CE=0.188351, Now=16:17:54
Epoch 0 --> 38/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.102266, L_CE=0.189221, Now=16:19:20
Epoch 0 --> 38/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.102586, L_CE=0.189707, Now=16:20:51
Epoch 0 --> 38/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.102476, L_CE=0.189478, Now=16:22:16
Epoch 0 --> 38/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.102676, L_CE=0.189835, Now=16:23:49
Epoch 0 --> 39/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.102454, L_CE=0.189451, Now=16:25:32
Epoch 0 --> 39/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.102352, L_CE=0.189325, Now=16:26:54
Epoch 0 --> 39/200, i=1500/2500, -3.00dB/150Hz, Tr_BER=0.102360, L_CE=0.189289, Now=16:28:24
Epoch 0 --> 39/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.102489, L_CE=0.189525, Now=16:29:57
Epoch 0 --> 39/200, i=2500/2500, -3.00dB/150Hz, Tr_BER=0.102617, L_CE=0.189770, Now=16:31:31
Epoch 0 --> 40/200, i= 500/2499, -3.00dB/5Hz, Tr_BER=0.101153, L_CE=0.188346, Now=16:35:41
Epoch 0 --> 40/200, i=1000/2499, -4.00dB/5Hz, Tr_BER=0.100569, L_CE=0.187368, Now=16:37:13
Epoch 0 --> 40/200, i=1500/2499, -4.00dB/5Hz, Tr_BER=0.100274, L_CE=0.186892, Now=16:38:43
Epoch 0 --> 40/200, i=2000/2499, -4.00dB/5Hz, Tr_BER=0.100186, L_CE=0.186735, Now=16:40:14
Epoch 0 --> 41/200, i= 500/2499, -3.00dB/5Hz, Tr_BER=0.099305, L_CE=0.185327, Now=16:43:30
Epoch 0 --> 41/200, i=1000/2499, -4.00dB/5Hz, Tr_BER=0.099151, L_CE=0.185068, Now=16:45:01
Epoch 0 --> 41/200, i=1500/2499, -4.00dB/5Hz, Tr_BER=0.099060, L_CE=0.184959, Now=16:46:26
Epoch 0 --> 41/200, i=2000/2499, -4.00dB/5Hz, Tr_BER=0.097929, L_CE=0.182988, Now=16:47:58
Epoch 0 --> 42/200, i= 500/2499, -3.00dB/5Hz, Tr_BER=0.090366, L_CE=0.170170, Now=16:51:18
Epoch 0 --> 42/200, i=1000/2499, -4.00dB/5Hz, Tr_BER=0.090742, L_CE=0.170839, Now=16:52:51
Epoch 0 --> 42/200, i=1500/2499, -4.00dB/5Hz, Tr_BER=0.090417, L_CE=0.170290, Now=16:54:24
Epoch 0 --> 42/200, i=2000/2499, -4.00dB/5Hz, Tr_BER=0.090227, L_CE=0.169997, Now=16:55:56
Epoch 0 --> 43/200, i= 500/2499, -4.00dB/5Hz, Tr_BER=0.089118, L_CE=0.168429, Now=16:58:48
Epoch 0 --> 43/200, i=1000/2499, -3.00dB/5Hz, Tr_BER=0.088885, L_CE=0.168093, Now=16:59:51
Epoch 0 --> 43/200, i=1500/2499, -4.00dB/5Hz, Tr_BER=0.088916, L_CE=0.168150, Now=17:01:14
